date,break_name,opt,strike_type,entry_time,ep,xp,exit_reason,pnl,iv_proxy,dte,spot_entry,break_level,prev_body
2021-04-30,PDL,CE,ATM,10:10:02,170.05,117.0,target,3978.75,1.33,6,14795.3,14814.45,0.656
2021-05-24,TC,PE,OTM1,10:10:02,74.7,59.6,target,1132.5,0.78,3,15174.3,15151.38,1.206
2021-06-04,R1,PE,ATM,10:10:02,124.8,137.6,eod,-960.0,0.969,6,15730.65,15724.14,0.123
2021-06-08,S1,CE,ITM1,10:00:02,102.35,126.1,eod,-1781.25,0.652,2,15687.4,15691.75,0.116
2021-06-15,R1,PE,ATM,09:40:02,88.35,70.15,target,1365.0,0.747,2,15884.8,15886.16,0.111
2021-07-09,S1,CE,ITM1,09:50:02,129.55,158.85,eod,-2197.5,0.828,6,15644.5,15645.19,0.882
2021-07-23,TC,PE,OTM1,09:55:02,73.55,58.7,target,1113.75,0.801,6,15835.95,15813.24,0.526
2021-08-20,S1,CE,ITM1,10:00:02,144.1,144.5,lockin_sl,-30.0,0.875,6,16474.05,16491.31,0.674
2021-08-25,R1,PE,ATM,09:50:02,66.35,51.0,target,1151.25,0.588,1,16679.9,16675.86,0.289
2021-09-01,R1,PE,ATM,10:05:02,66.15,99.25,hard_sl,-2482.5,0.534,1,17222.3,17217.29,1.077
2021-09-03,R1,PE,ATM,10:05:02,107.45,89.0,eod,1383.75,0.774,6,17302.7,17299.2,0.765
2021-10-01,S2,CE,OTM1,09:55:02,128.85,138.15,eod,-697.5,1.052,6,17463.4,17487.82,0.683
2021-10-06,TC,PE,OTM1,10:25:02,47.1,37.5,target,720.0,0.528,1,17805.3,17797.92,0.924
2021-11-15,R1,PE,ATM,09:45:02,96.65,145.0,hard_sl,-3626.25,0.662,3,18190.25,18179.94,0.669
2021-12-28,R1,PE,ATM,10:15:02,85.75,68.2,target,1316.25,0.634,2,17207.55,17197.64,0.897
2022-01-04,R1,PE,ATM,10:20:02,100.2,80.0,target,1515.0,0.723,2,17730.35,17728.06,1.402
2022-01-07,R2,PE,ITM1,09:45:02,169.7,211.6,eod,-3142.5,0.949,6,17887.45,17876.35,0.154
2022-02-02,R1,PE,ATM,09:55:02,94.95,75.7,target,1443.75,0.699,1,17738.1,17736.15,0.394
2022-02-07,PDL,CE,ATM,09:40:02,120.15,83.85,target,2722.5,0.845,3,17432.0,17462.55,0.527
2022-02-11,S2,CE,OTM1,10:10:02,119.05,125.25,eod,-465.0,0.982,6,17328.5,17339.05,0.312
2022-02-18,TC,PE,OTM1,10:05:02,176.5,140.4,target,2707.5,1.271,6,17304.45,17297.38,0.709
2022-03-07,PDL,CE,ATM,10:30:02,226.4,277.55,eod,-3836.25,1.606,3,15791.45,16133.8,0.728
2022-03-15,TC,PE,OTM1,10:05:02,162.7,245.3,hard_sl,-6195.0,1.235,2,16859.75,16838.82,1.398
2022-03-25,TC,PE,OTM1,09:45:02,158.9,162.4,eod,-262.5,1.184,6,17199.25,17195.79,0.491
2022-03-29,R1,PE,ATM,09:40:02,82.5,65.65,target,1263.75,0.599,2,17315.85,17298.86,0.108
2022-04-06,S1,CE,ITM1,09:45:02,112.6,78.5,target,2557.5,0.631,1,17851.7,17869.91,0.876
2022-04-27,PDL,CE,ATM,09:40:02,92.9,65.0,target,2092.5,0.715,1,17051.5,17064.45,0.416
2022-05-06,S2,CE,OTM1,09:50:02,155.0,137.65,eod,1301.25,1.261,6,16447.95,16462.53,1.134
2022-05-10,TC,PE,OTM1,10:30:02,114.45,90.35,target,1807.5,0.987,2,16307.75,16297.66,0.341
2022-06-06,S1,CE,ITM1,10:15:02,167.4,202.1,eod,-2602.5,1.015,3,16499.05,16503.65,1.069
2022-06-22,S1,CE,ITM1,09:45:02,116.45,81.25,target,2640.0,0.753,1,15454.8,15465.15,1.109
2022-06-29,S1,CE,ITM1,10:10:02,107.4,132.6,eod,-1890.0,0.682,1,15749.85,15759.46,0.677
2022-07-06,TC,PE,OTM1,09:50:02,60.95,48.0,target,971.25,0.676,1,15868.15,15834.46,0.72
2022-08-10,TC,PE,OTM1,09:45:02,71.55,57.1,target,1083.75,0.67,1,17506.35,17501.88,0.699
2022-08-19,TC,PE,OTM1,09:45:02,93.1,141.7,hard_sl,-3645.0,0.774,6,17955.85,17946.89,0.274
2022-08-23,TC,PE,OTM1,09:40:02,86.9,69.45,target,1308.75,0.785,2,17529.1,17521.94,1.111
2022-09-07,S1,CE,ITM1,10:00:02,128.0,168.05,eod,-3003.75,0.729,1,17568.0,17571.45,0.348
2022-09-16,S1,CE,ITM1,09:40:02,168.0,115.25,target,3956.25,0.945,6,17775.55,17790.59,1.01
2022-09-19,TC,PE,OTM1,09:55:02,137.45,134.85,eod,195.0,1.061,3,17626.0,17587.05,1.5
2022-09-30,TC,PE,OTM1,10:20:02,152.6,121.6,target,2325.0,1.184,6,16884.55,16864.84,0.962
2022-10-21,R1,PE,ATM,09:55:02,136.0,108.4,target,2070.0,0.93,6,17625.1,17625.16,0.699
2022-11-02,TC,PE,OTM1,09:45:02,63.65,96.0,hard_sl,-2426.25,0.607,1,18143.85,18134.07,0.283
2022-11-25,TC,PE,OTM1,09:55:02,74.35,59.05,target,1147.5,0.655,6,18482.35,18480.29,1.023
2022-12-02,S2,CE,OTM1,10:10:02,105.7,91.45,eod,1068.75,0.872,6,18709.5,18712.82,0.389
2022-12-19,TC,PE,OTM1,10:00:02,56.65,44.25,target,930.0,0.535,3,18314.65,18299.25,0.307
2023-01-02,TC,PE,OTM1,09:40:02,75.35,59.35,target,1200.0,0.678,3,18145.85,18134.92,0.814
2023-01-11,TC,PE,OTM1,10:15:02,46.9,70.95,hard_sl,-1803.75,0.503,1,17958.75,17947.16,1.118
2023-01-17,R1,PE,ATM,10:05:02,73.65,110.6,hard_sl,-2771.25,0.539,2,18010.3,18009.65,0.708
2023-01-18,R1,PE,ATM,10:10:02,76.7,61.2,target,1162.5,0.586,1,18130.65,18122.61,0.835
2023-01-27,S2,CE,OTM1,10:15:02,170.2,102.0,target,5115.0,1.262,6,17685.55,17698.33,1.044
2023-02-17,PDL,CE,ATM,09:55:02,101.45,70.7,target,2306.25,0.722,6,17993.9,18000.65,0.449
2023-02-27,PDL,CE,ATM,09:40:02,107.8,75.4,target,2430.0,0.796,3,17401.8,17421.8,0.731
2023-03-08,PDL,CE,ATM,09:45:02,63.45,63.7,lockin_sl,-18.75,0.543,1,17664.4,17671.95,0.196
2023-03-14,PDL,CE,ATM,10:20:02,109.3,76.05,target,2493.75,0.813,2,17094.15,17113.45,1.384
2023-04-05,R2,PE,ITM1,10:30:02,91.5,45.65,target,3438.75,0.523,1,17499.4,17495.3,0.166
2023-04-28,TC,PE,OTM1,10:25:02,51.5,40.85,target,798.75,0.524,6,17904.5,17901.61,0.519
2023-05-26,R1,PE,ATM,10:05:02,93.7,72.45,target,1593.75,0.649,6,18385.6,18382.84,0.396
2023-06-23,S2,CE,OTM1,09:40:02,89.3,81.75,eod,566.25,0.803,6,18658.6,18681.13,0.429
2023-08-08,TC,PE,OTM1,09:40:02,54.15,43.3,target,813.75,0.528,2,19592.9,19589.78,0.201
2023-09-25,PDL,CE,ATM,10:05:02,95.95,67.1,target,2163.75,0.647,3,19649.0,19657.5,0.364
2023-11-01,PDL,CE,ATM,09:50:02,72.0,49.3,target,1702.5,0.536,1,19054.0,19056.45,0.785
2023-12-27,R2,PE,ITM1,10:30:02,102.9,51.05,target,3888.75,0.477,1,21577.05,21568.18,0.407
2024-01-24,TC,PE,OTM1,10:00:02,91.75,72.9,target,1413.75,0.651,1,21375.15,21318.14,2.227
2024-01-31,TC,PE,OTM1,09:45:02,109.5,86.9,target,1695.0,0.721,1,21578.55,21571.68,1.174
2024-02-12,S1,CE,ITM1,10:25:02,190.4,144.35,eod,3453.75,0.879,3,21655.65,21675.79,0.179
2024-02-14,S1,CE,ITM1,10:05:02,121.7,244.65,hard_sl,-9221.25,0.564,1,21572.9,21592.76,0.294
2024-02-26,PDL,CE,ATM,09:50:02,142.2,99.35,target,3213.75,0.764,3,22177.0,22186.1,0.457
2024-02-28,TC,PE,OTM1,10:05:02,77.55,61.65,target,1192.5,0.573,1,22193.65,22179.85,0.425
