date,open,high,low,close
20260224,25641.8,25641.8,25327.6,25424.65
20260225,25512.6,25652.6,25428.2,25482.5
20260226,25556.3,25572.95,25400.95,25496.55
20260227,25459.85,25476.4,25141.3,25178.65
20260302,24659.25,24989.35,24603.5,24865.7
20260304,24388.8,24602.45,24305.4,24480.5
20260305,24615.95,24854.2,24529.4,24765.9
20260306,24656.4,24700.9,24415.75,24450.45
20260309,23868.05,24078.15,23697.8,24028.05
20260310,24280.8,24303.8,24079.95,24261.6
20260311,24231.85,24299.0,23834.3,23866.85
20260312,23674.85,23833.15,23556.3,23639.15
20260313,23462.5,23492.4,23112.0,23151.1
20260316,23116.1,23502.0,22955.25,23408.8
20260317,23493.2,23656.8,23346.6,23581.15
20260318,23632.9,23862.25,23618.45,23777.8
20260319,23197.75,23378.7,22930.35,23002.15
20260320,23110.15,23345.15,23067.6,23114.5
20260323,22824.35,22851.7,22471.25,22512.65
20260324,22878.45,23057.3,22624.2,22912.4
20260325,23064.4,23465.35,23063.2,23306.45
20260327,23173.55,23186.1,22804.55,22819.6
20260330,22549.65,22714.1,22283.85,22331.4
20260401,22899.0,22941.3,22618.6,22679.4
20260402,22383.4,22782.3,22182.55,22713.1
20260406,22780.3,22998.35,22542.95,22968.25
20260407,22838.7,23153.85,22719.3,23123.65
20260408,23855.15,24025.15,23828.5,23997.35
20260409,23909.05,23990.75,23682.8,23775.1
20260410,23880.55,24074.05,23856.35,24050.6
20260413,23589.6,23907.4,23555.6,23842.65
20260415,24163.8,24280.9,24145.8,24231.3
20260416,24385.2,24400.95,24102.8,24196.75
20260417,24165.9,24371.9,24096.05,24353.55
20260420,24391.5,24480.65,24241.25,24364.85
20260421,24374.55,24601.7,24354.9,24576.6
20260422,24470.85,24515.95,24352.9,24378.1
20260423,24202.35,24310.2,24134.8,24173.05
20260424,24100.55,24206.0,23813.65,23897.95
20260427,23945.45,24130.7,23936.2,24092.7
20260428,24049.9,24181.8,23957.05,23995.7
20260429,24096.9,24334.7,24059.95,24177.65
20260430,23996.95,24087.45,23796.85,23997.55
20260504,24063.55,24290.2,24004.75,24119.3
20260505,24052.6,24072.1,23949.4,24042.55
