date,zone,ema_bias,opt,atm,strike,strike_type,entry_time,target_pct,sl_param,sl_type,ep,xp,exit_reason,pnl,iv_proxy,prev_body,dte
2021-04-23,within_cpr,bear,CE,14350,14350,ATM,09:16:02,0.2,2.0,pct,185.6,148.45,target,2786.25,1.295,1.224,6
2021-04-27,tc_to_pdh,bear,PE,14500,14450,OTM1,09:31:02,0.5,25.0,spot,87.05,66.85,spot_sl,1515.0,0.6,0.212,2
2021-05-03,s1_to_s2,bear,CE,14500,14500,ATM,09:16:02,0.5,2.0,pct,141.6,216.85,eod,-5643.75,0.977,1.058,3
2021-05-05,tc_to_pdh,bear,PE,14600,14550,OTM1,09:31:02,0.5,25.0,spot,88.7,89.45,lockin_sl,-56.25,0.607,1.389,1
2021-05-07,r1_to_r2,bull,PE,14800,14750,OTM1,09:16:02,0.5,1.0,pct,103.95,98.75,eod,390.0,0.701,0.437,5
2021-05-14,tc_to_pdh,bull,PE,14750,14800,ITM1,09:25:02,0.2,75.0,spot,215.45,216.2,spot_sl,-56.25,1.461,0.839,6
2021-05-17,r1_to_r2,bull,PE,14750,14700,OTM1,09:16:02,0.5,1.0,pct,90.65,44.4,target,3468.75,0.614,0.464,3
2021-05-18,r1_to_r2,bull,PE,15100,15050,OTM1,09:16:02,0.5,1.0,pct,116.65,56.3,target,4526.25,0.774,1.103,2
2021-05-21,tc_to_pdh,bull,PE,15000,15050,ITM1,09:25:02,0.2,75.0,spot,150.25,120.2,target,2253.75,1.002,0.855,6
2021-05-26,tc_to_pdh,bull,PE,15250,15300,ITM1,09:25:02,0.2,75.0,spot,111.8,88.55,target,1743.75,0.733,0.485,1
2021-05-28,r1_to_r2,bull,PE,15400,15350,OTM1,09:16:02,0.5,1.0,pct,87.2,74.95,eod,918.75,0.565,0.226,6
2021-05-31,within_cpr,bull,PE,15450,15450,ATM,09:20:02,0.3,2.0,pct,119.05,83.3,target,2681.25,0.771,0.192,3
2021-06-07,r1_to_r2,bull,PE,15750,15700,OTM1,09:16:02,0.5,1.0,pct,86.05,59.1,eod,2021.25,0.547,0.28,3
2021-06-09,tc_to_pdh,bull,PE,15750,15800,ITM1,09:25:02,0.2,75.0,spot,105.75,84.0,target,1631.25,0.671,0.241,1
2021-06-11,r1_to_r2,bull,PE,15800,15750,OTM1,09:16:02,0.5,1.0,pct,86.25,86.45,lockin_sl,-15.0,0.546,0.413,6
2021-06-18,r1_to_r2,bull,PE,15750,15700,OTM1,09:16:02,0.5,1.0,pct,96.5,194.25,hard_sl,-7331.25,0.612,0.13,6
2021-06-25,r1_to_r2,bull,PE,15850,15800,OTM1,09:16:02,0.5,1.0,pct,96.45,66.5,eod,2246.25,0.609,0.316,6
2021-06-30,tc_to_pdh,bull,PE,15800,15850,ITM1,09:25:02,0.2,75.0,spot,84.95,67.6,target,1301.25,0.538,0.44,1
2021-07-02,tc_to_pdh,bull,PE,15700,15750,ITM1,09:25:02,0.2,75.0,spot,139.2,111.05,target,2111.25,0.886,0.388,6
2021-07-16,tc_to_pdh,bull,PE,15950,16000,ITM1,09:25:02,0.2,75.0,spot,110.65,114.4,eod,-281.25,0.694,0.252,6
2021-07-19,below_s4,bear,CE,15750,15700,ITM1,09:16:02,0.2,0.5,pct,147.75,118.1,target,2223.75,0.938,0.173,3
2021-07-27,tc_to_pdh,bull,PE,15850,15900,ITM1,09:25:02,0.2,75.0,spot,82.75,152.6,spot_sl,-5238.75,0.522,0.179,2
2021-07-28,tc_to_pdh,bear,PE,15750,15700,OTM1,09:31:02,0.5,25.0,spot,74.55,75.0,lockin_sl,-33.75,0.473,0.733,1
2021-08-02,r1_to_r2,bull,PE,15900,15850,OTM1,09:16:02,0.5,1.0,pct,84.65,54.0,eod,2298.75,0.533,0.167,3
2021-08-09,tc_to_pdh,bull,PE,16300,16350,ITM1,09:25:02,0.2,75.0,spot,118.7,173.5,spot_sl,-4110.0,0.729,0.338,3
2021-08-10,tc_to_pdh,bull,PE,16300,16350,ITM1,09:25:02,0.2,75.0,spot,98.0,78.2,target,1485.0,0.602,0.136,2
2021-08-16,tc_to_pdh,bull,PE,16500,16550,ITM1,09:25:02,0.2,75.0,spot,93.8,74.35,target,1458.75,0.568,0.765,2
2021-08-17,tc_to_pdh,bull,PE,16550,16600,ITM1,09:25:02,0.2,75.0,spot,83.4,66.2,target,1290.0,0.504,0.16,1
2021-08-24,tc_to_pdh,bull,PE,16550,16600,ITM1,09:25:02,0.2,75.0,spot,111.15,88.4,target,1706.25,0.671,0.63,2
2021-08-31,tc_to_pdh,bull,PE,16950,17000,ITM1,09:25:02,0.2,75.0,spot,84.9,66.0,target,1417.5,0.501,0.965,2
2021-09-07,tc_to_pdh,bull,PE,17400,17450,ITM1,09:25:02,0.2,75.0,spot,147.0,162.95,spot_sl,-1196.25,0.845,0.122,2
2021-09-08,tc_to_pdh,bull,PE,17400,17450,ITM1,09:25:02,0.2,75.0,spot,126.4,100.25,target,1961.25,0.727,0.272,1
2021-09-13,within_cpr,bull,PE,17350,17350,ATM,09:20:02,0.3,2.0,pct,102.8,71.35,target,2358.75,0.593,0.217,3
2021-09-17,r1_to_r2,bull,PE,17700,17650,OTM1,09:16:02,0.5,1.0,pct,90.7,72.8,lockin_sl,1342.5,0.512,0.422,6
2021-09-21,tc_to_pdh,bull,PE,17450,17500,ITM1,09:25:02,0.2,75.0,spot,154.65,154.65,spot_sl,0.0,0.887,0.49,2
2021-09-24,r1_to_r2,bull,PE,17900,17850,OTM1,09:16:02,0.5,1.0,pct,113.35,114.65,eod,-97.5,0.633,0.853,6
2021-09-27,r1_to_r2,bull,PE,17950,17900,OTM1,09:16:02,0.5,1.0,pct,95.55,125.4,eod,-2238.75,0.533,0.334,3
2021-09-28,tc_to_pdh,bull,PE,17900,17950,ITM1,09:25:02,0.2,75.0,spot,154.55,190.6,spot_sl,-2703.75,0.863,0.418,2
2021-10-08,r1_to_r2,bull,PE,17900,17850,OTM1,09:16:02,0.5,1.0,pct,117.45,117.6,lockin_sl,-11.25,0.656,0.102,6
2021-10-18,r3_to_r4,bull,PE,18500,18550,ITM1,09:25:02,0.2,0.5,pct,146.7,116.95,target,2231.25,0.793,0.267,3
2021-10-19,r2_to_r3,bull,PE,18600,18600,ATM,09:20:02,0.2,1.5,pct,111.4,88.0,target,1755.0,0.599,0.14,2
2021-10-20,tc_to_pdh,bull,PE,18450,18500,ITM1,09:25:02,0.2,75.0,spot,179.75,179.75,spot_sl,0.0,0.974,0.98,1
2021-10-22,tc_to_pdh,bull,PE,18250,18300,ITM1,09:25:02,0.2,75.0,spot,164.45,131.0,target,2508.75,0.902,0.877,6
2021-10-25,tc_to_pdh,bull,PE,18250,18300,ITM1,09:25:02,0.2,75.0,spot,274.75,274.75,spot_sl,0.0,1.506,0.678,3
2021-10-26,tc_to_pdh,bull,PE,18150,18200,ITM1,09:25:02,0.2,75.0,spot,101.0,80.65,target,1526.25,0.556,0.579,2
2021-10-27,tc_to_pdh,bull,PE,18300,18350,ITM1,09:25:02,0.2,75.0,spot,107.65,85.7,target,1646.25,0.588,0.815,1
2021-11-01,tc_to_pdh,bear,PE,17800,17750,OTM1,09:31:02,0.5,25.0,spot,108.8,109.75,lockin_sl,-71.25,0.612,0.684,2
2021-11-08,r1_to_r2,bull,PE,18000,17950,OTM1,09:16:02,0.5,1.0,pct,103.1,48.7,target,4080.0,0.573,0.672,3
2021-11-12,r1_to_r2,bear,PE,18000,18000,ATM,09:20:02,0.5,2.0,pct,134.4,66.35,target,5103.75,0.748,0.471,6
2021-11-16,tc_to_pdh,bull,PE,18150,18200,ITM1,09:25:02,0.2,75.0,spot,155.2,172.8,spot_sl,-1320.0,0.856,0.344,2
2021-11-17,pdl_to_s1,bear,CE,17950,17900,ITM1,09:20:02,0.2,2.0,pct,92.8,73.4,target,1455.0,0.517,0.936,1
